,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type,Address,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
0,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hernia,46
1,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hydrocelle,35
2,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Phimosis/Para - Phimosis,23
3,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Haemorhoids/(Piles),97
4,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Epedidymitis/Orchitis,43
5,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Prostatism (BEP/BPH),46
6,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Others,13515
7,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hernia,15
8,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hydrocelle,16
9,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Phimosis/Para - Phimosis,6
10,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Haemorhoids/(Piles),40
11,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Epedidymitis/Orchitis,12
12,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Prostatism (BEP/BPH),13
13,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Others,10086
14,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political",Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hernia,37
15,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political",Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hydrocelle,25
16,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political",Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Phimosis/Para - Phimosis,10
17,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political",Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Haemorhoids/(Piles),71
18,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political",Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Epedidymitis/Orchitis,18
