,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type,Year (BS),Year (AD),Indicator,Value
0,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hernia,46
1,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hydrocelle,35
2,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Phimosis/Para - Phimosis,23
3,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Haemorhoids/(Piles),97
4,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Epedidymitis/Orchitis,43
5,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Prostatism (BEP/BPH),46
6,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.7763333,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Others,13515
7,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hernia,15
8,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hydrocelle,16
9,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Phimosis/Para - Phimosis,6
10,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Haemorhoids/(Piles),40
11,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Epedidymitis/Orchitis,12
12,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Prostatism (BEP/BPH),13
13,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Others,10086
14,APPROXIMATE,"Ilam 57300, Nepal",ChIJI03hO5PD5TkR-HYH_yIGBpA,Ilam,26.9111769,87.9236747,2,57300,OK,"locality,political",2068/69,2011/12,Hernia,37
15,APPROXIMATE,"Ilam 57300, Nepal",ChIJI03hO5PD5TkR-HYH_yIGBpA,Ilam,26.9111769,87.9236747,2,57300,OK,"locality,political",2068/69,2011/12,Hydrocelle,25
16,APPROXIMATE,"Ilam 57300, Nepal",ChIJI03hO5PD5TkR-HYH_yIGBpA,Ilam,26.9111769,87.9236747,2,57300,OK,"locality,political",2068/69,2011/12,Phimosis/Para - Phimosis,10
17,APPROXIMATE,"Ilam 57300, Nepal",ChIJI03hO5PD5TkR-HYH_yIGBpA,Ilam,26.9111769,87.9236747,2,57300,OK,"locality,political",2068/69,2011/12,Haemorhoids/(Piles),71
18,APPROXIMATE,"Ilam 57300, Nepal",ChIJI03hO5PD5TkR-HYH_yIGBpA,Ilam,26.9111769,87.9236747,2,57300,OK,"locality,political",2068/69,2011/12,Epedidymitis/Orchitis,18
19,APPROXIMATE,"Ilam 57300, Nepal",ChIJI03hO5PD5TkR-HYH_yIGBpA,Ilam,26.9111769,87.9236747,2,57300,OK,"locality,political",2068/69,2011/12,Prostatism (BEP/BPH),20
20,APPROXIMATE,"Ilam 57300, Nepal",ChIJI03hO5PD5TkR-HYH_yIGBpA,Ilam,26.9111769,87.9236747,2,57300,OK,"locality,political",2068/69,2011/12,Others,21038
21,APPROXIMATE,"Jhapa, Nepal",ChIJiYUt_bi85TkRHHEEYhFWegE,Jhapa,26.63982,87.8942451,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hernia,405
22,APPROXIMATE,"Jhapa, Nepal",ChIJiYUt_bi85TkRHHEEYhFWegE,Jhapa,26.63982,87.8942451,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hydrocelle,734
23,APPROXIMATE,"Jhapa, Nepal",ChIJiYUt_bi85TkRHHEEYhFWegE,Jhapa,26.63982,87.8942451,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Phimosis/Para - Phimosis,125
24,APPROXIMATE,"Jhapa, Nepal",ChIJiYUt_bi85TkRHHEEYhFWegE,Jhapa,26.63982,87.8942451,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Haemorhoids/(Piles),898
25,APPROXIMATE,"Jhapa, Nepal",ChIJiYUt_bi85TkRHHEEYhFWegE,Jhapa,26.63982,87.8942451,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Epedidymitis/Orchitis,294
26,APPROXIMATE,"Jhapa, Nepal",ChIJiYUt_bi85TkRHHEEYhFWegE,Jhapa,26.63982,87.8942451,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Prostatism (BEP/BPH),71
27,APPROXIMATE,"Jhapa, Nepal",ChIJiYUt_bi85TkRHHEEYhFWegE,Jhapa,26.63982,87.8942451,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Others,18972
28,APPROXIMATE,"Morang, Nepal",ChIJUcxaRHhj7zkRLH37l99G-G4,Morang,26.6799002,87.460397,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hernia,225
29,APPROXIMATE,"Morang, Nepal",ChIJUcxaRHhj7zkRLH37l99G-G4,Morang,26.6799002,87.460397,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hydrocelle,641
30,APPROXIMATE,"Morang, Nepal",ChIJUcxaRHhj7zkRLH37l99G-G4,Morang,26.6799002,87.460397,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Phimosis/Para - Phimosis,78
31,APPROXIMATE,"Morang, Nepal",ChIJUcxaRHhj7zkRLH37l99G-G4,Morang,26.6799002,87.460397,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Haemorhoids/(Piles),502
32,APPROXIMATE,"Morang, Nepal",ChIJUcxaRHhj7zkRLH37l99G-G4,Morang,26.6799002,87.460397,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Epedidymitis/Orchitis,110
33,APPROXIMATE,"Morang, Nepal",ChIJUcxaRHhj7zkRLH37l99G-G4,Morang,26.6799002,87.460397,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Prostatism (BEP/BPH),129
34,APPROXIMATE,"Morang, Nepal",ChIJUcxaRHhj7zkRLH37l99G-G4,Morang,26.6799002,87.460397,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Others,51579
35,APPROXIMATE,"Sunsari, Nepal",ChIJH49iDWAR7zkRiJ_ZeLVi2UI,Sunsari,26.6275522,87.1821709,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hernia,34
36,APPROXIMATE,"Sunsari, Nepal",ChIJH49iDWAR7zkRiJ_ZeLVi2UI,Sunsari,26.6275522,87.1821709,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Hydrocelle,44
37,APPROXIMATE,"Sunsari, Nepal",ChIJH49iDWAR7zkRiJ_ZeLVi2UI,Sunsari,26.6275522,87.1821709,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Year (BS),4
38,APPROXIMATE,"Sunsari, Nepal",ChIJH49iDWAR7zkRiJ_ZeLVi2UI,Sunsari,26.6275522,87.1821709,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Haemorhoids/(Piles),203
39,APPROXIMATE,"Sunsari, Nepal",ChIJH49iDWAR7zkRiJ_ZeLVi2UI,Sunsari,26.6275522,87.1821709,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Epedidymitis/Orchitis,31
40,APPROXIMATE,"Sunsari, Nepal",ChIJH49iDWAR7zkRiJ_ZeLVi2UI,Sunsari,26.6275522,87.1821709,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Prostatism (BEP/BPH),5
41,APPROXIMATE,"Sunsari, Nepal",ChIJH49iDWAR7zkRiJ_ZeLVi2UI,Sunsari,26.6275522,87.1821709,1,,OK,"administrative_area_level_3,political",2068/69,2011/12,Others,45499
42,APPROXIMATE,"Dhankuta, Nepal",ChIJM_1_xKVP7zkRDsebI7WBhe0,Dhankuta,26.9834552,87.3214908,1,,OK,"locality,political",2068/69,2011/12,Hernia,17
43,APPROXIMATE,"Dhankuta, Nepal",ChIJM_1_xKVP7zkRDsebI7WBhe0,Dhankuta,26.9834552,87.3214908,1,,OK,"locality,political",2068/69,2011/12,Hydrocelle,10
